CodeSystem,ConceptCode,ConceptName
ICD10CM,J44.0,Chronic obstructive pulmonary disease with (acute) lower respiratory infection
ICD10CM,J44.1,Chronic obstructive pulmonary disease with (acute) exacerbation
ICD10CM,J44.9,"Chronic obstructive pulmonary disease, unspecified"
ICD9CM,493.20,"Chronic obstructive asthma, unspecified"
ICD9CM,493.21,Chronic obstructive asthma with status asthmaticus
ICD9CM,493.22,Chronic obstructive asthma with (acute) exacerbation
ICD9CM,496,"Chronic airway obstruction, not elsewhere classified"
SNOMED CT,285381006,Acute infective exacerbation of chronic obstructive airways disease
SNOMED CT,313296004,Mild chronic obstructive pulmonary disease
SNOMED CT,313297008,Moderate chronic obstructive pulmonary disease
SNOMED CT,313299006,Severe chronic obstructive pulmonary disease
SNOMED CT,135836000,End stage chronic obstructive airways disease
SNOMED CT,195951007,Acute exacerbation of chronic obstructive airways disease
SNOMED CT,196001008,Chronic obstructive pulmonary disease with acute lower respiratory infection
SNOMED CT,13645005,Chronic obstructive lung disease
SNOMED CT,266355005,Bullous emphysema with collapse
SNOMED CT,266356006,Atrophic (senile) emphysema
SNOMED CT,708030004,Pulmonary emphysema co-occurrent with fibrosis of lung
SNOMED CT,70756004,Bronchial atresia with segmental pulmonary emphysema
SNOMED CT,77690003,Interstitial emphysema of lung
SNOMED CT,86680006,Ruptured emphysematous bleb of lung
SNOMED CT,87433001,Pulmonary emphysema
SNOMED CT,195957006,Chronic bullous emphysema
SNOMED CT,195958001,Segmental bullous emphysema
SNOMED CT,195959009,Zonal bullous emphysema
SNOMED CT,196026004,Chronic emphysema due to chemical fumes
SNOMED CT,233675009,Toxic emphysema
SNOMED CT,233677001,Scar emphysema
SNOMED CT,4981000,Panacinar emphysema
SNOMED CT,16003001,Giant bullous emphysema
SNOMED CT,16846004,Obstructive emphysema
SNOMED CT,23958009,Vanishing lung
SNOMED CT,31898008,Paraseptal emphysema
SNOMED CT,33325001,Compensatory emphysema
SNOMED CT,47895001,Congenital emphysema
SNOMED CT,47938003,Chronic obliterative bronchiolitis
SNOMED CT,57686001,Emphysematous bleb of lung
SNOMED CT,60805002,Hemolytic anemia with emphysema AND cutis laxa
SNOMED CT,66987001,Congenital lobar emphysema
SNOMED CT,68328006,Centriacinar emphysema
SNOMED CT,762618008,Bronchiolitis obliterans syndrome due to and after lung transplantation
SNOMED CT,836477007,Chronic emphysema due to vapor
SNOMED CT,840350008,Chronic obliterative bronchiolitis due to chemical fumes
SNOMED CT,840351007,Chronic obliterative bronchiolitis due to vapor
SNOMED CT,1751000119100,Acute exacerbation of chronic obstructive airways disease with asthma
SNOMED CT,106001000119101,Chronic obstructive lung disease co-occurrent with acute bronchitis
SNOMED CT,10692761000119107,Asthma-chronic obstructive pulmonary disease overlap syndrome
SNOMED CT,233674008,Pulmonary emphysema in alpha-1 primary immunodeficiency deficiency
SNOMED CT,1010333003,Emphysema of left lung
SNOMED CT,1010334009,Emphysema of right lung
SNOMED CT,1177120001,Bronchiolitis obliterans syndrome due to and following allogeneic stem cell transplant
