CodeSystem,ConceptCode,ConceptName
ICD10CM,C01,Malignant neoplasm of base of tongue
ICD10CM,C02,Malignant neoplasm of other and unspecified parts of tongue
ICD10CM,C03,Malignant neoplasm of gum
ICD10CM,C04,Malignant neoplasm of floor of mouth
ICD10CM,C05,Malignant neoplasm of palate
ICD10CM,C06,Malignant neoplasm of other and unspecified parts of mouth
ICD10CM,C07,Malignant neoplasm of parotid gland
ICD10CM,C08,Malignant neoplasm of other and unspecified major salivary glands
ICD10CM,C09,Malignant neoplasm of tonsil
ICD10CM,C10,Malignant neoplasm of oropharynx
ICD10CM,C11,Malignant neoplasm of nasopharynx
ICD10CM,C12,Malignant neoplasm of pyriform sinus
ICD10CM,C13,Malignant neoplasm of hypopharynx
ICD10CM,C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
ICD10CM,C15,Malignant neoplasm of esophagus
ICD10CM,C16,Malignant neoplasm of stomach
ICD10CM,C17,Malignant neoplasm of small intestine
ICD10CM,C18,Malignant neoplasm of colon
ICD10CM,C19,Malignant neoplasm of rectosigmoid junction
ICD10CM,C20,Malignant neoplasm of rectum
ICD10CM,C21,Malignant neoplasm of anus and anal canal
ICD10CM,C22,Malignant neoplasm of liver and intrahepatic bile ducts
ICD10CM,C23,Malignant neoplasm of gallbladder
ICD10CM,C24,Malignant neoplasm of other and unspecified parts of biliary tract
ICD10CM,C25,Malignant neoplasm of pancreas
ICD10CM,C26,Malignant neoplasm of other and ill-defined digestive organs
ICD10CM,C30,Malignant neoplasm of nasal cavity and middle ear
ICD10CM,C31,Malignant neoplasm of accessory sinuses
ICD10CM,C32,Malignant neoplasm of larynx
ICD10CM,C33,Malignant neoplasm of trachea
ICD10CM,C34,Malignant neoplasm of bronchus and lung
ICD10CM,C37,Malignant neoplasm of thymus
ICD10CM,C38,"Malignant neoplasm of heart, mediastinum and pleura"
ICD10CM,C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
ICD10CM,C40,Malignant neoplasm of bone and articular cartilage of limbs
ICD10CM,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
ICD10CM,C43,Malignant melanoma of skin
ICD10CM,C44,Other and unspecified malignant neoplasm of skin
ICD10CM,C45,Mesothelioma
ICD10CM,C46,Kaposi's sarcoma
ICD10CM,C47,Malignant neoplasm of peripheral nerves and autonomic nervous system
ICD10CM,C48,Malignant neoplasm of retroperitoneum and peritoneum
ICD10CM,C49,Malignant neoplasm of other connective and soft tissue
ICD10CM,C50,Malignant neoplasm of breast
ICD10CM,C51,Malignant neoplasm of vulva
ICD10CM,C52,Malignant neoplasm of vagina
ICD10CM,C53,Malignant neoplasm of cervix uteri
ICD10CM,C54,Malignant neoplasm of corpus uteri
ICD10CM,C55,"Malignant neoplasm of uterus, part unspecified"
ICD10CM,C56,Malignant neoplasm of ovary
ICD10CM,C57,Malignant neoplasm of other and unspecified female genital organs
ICD10CM,C58,Malignant neoplasm of placenta
ICD10CM,C60,Malignant neoplasm of penis
ICD10CM,C61,Malignant neoplasm of prostate
ICD10CM,C62,Malignant neoplasm of testis
ICD10CM,C63,Malignant neoplasm of other and unspecified male genital organs
ICD10CM,C64,"Malignant neoplasm of kidney, except renal pelvis"
ICD10CM,C65,Malignant neoplasm of renal pelvis
ICD10CM,C66,Malignant neoplasm of ureter
ICD10CM,C67,Malignant neoplasm of bladder
ICD10CM,C68,Malignant neoplasm of other and unspecified urinary organs
ICD10CM,C69,Malignant neoplasm of eye and adnexa
ICD10CM,C70,Malignant neoplasm of meninges
ICD10CM,C71,Malignant neoplasm of brain
