CodeSystem,ConceptCode,ConceptName
ICD10CM,F06.3,Mood disorder due to known physiological condition
ICD10CM,F34,Persistent mood [affective] disorders
ICD10CM,F39,Unspecified mood [affective] disorder
ICD10CM,F06.30,"Mood disorder due to known physiological condition, unspecified"
ICD10CM,F06.31,Mood disorder due to known physiological condition with depressive features
ICD10CM,F06.32,Mood disorder due to known physiological condition with major depressive-like episode
ICD10CM,F06.33,Mood disorder due to known physiological condition with manic features
ICD10CM,F06.34,Mood disorder due to known physiological condition with mixed features
ICD10CM,F34.0,Cyclothymic disorder
ICD10CM,F34.1,Dysthymic disorder
ICD10CM,F34.8,Other persistent mood [affective] disorders
ICD10CM,F34.81,Disruptive mood dysregulation disorder
ICD10CM,F34.89,Other specified persistent mood disorders
ICD10CM,F34.9,"Persistent mood [affective] disorder, unspecified"
SNOMED CT,106131003,Mood finding
SNOMED CT,932006,Flat affect
SNOMED CT,1402001,Fear
SNOMED CT,5240007,Inappropriate jocularity
SNOMED CT,6140007,Blunted affect
SNOMED CT,9066006,Feeling of discouragement
SNOMED CT,11542009,Loss of affect
SNOMED CT,17029006,Feeling despair
SNOMED CT,18963009,Mood swings
SNOMED CT,19512009,Fear of insects
SNOMED CT,20602000,Indifference
SNOMED CT,24109003,Bromhidrosiphobia
SNOMED CT,24936000,Emotionally detached
SNOMED CT,25467004,Hyperaffectivity
SNOMED CT,27596001,Hyposensitivity
SNOMED CT,28290006,Inappropriate affect
SNOMED CT,30819006,Dysphoric mood
SNOMED CT,31492004,Fear of school
SNOMED CT,33314005,Hypoaffectivity
SNOMED CT,33624008,Hyperirritability
SNOMED CT,34563004,Fear of getting cancer
SNOMED CT,34822003,Elation
SNOMED CT,35209006,Sensitivity
SNOMED CT,39370001,Restricted affect
SNOMED CT,46460004,Hypomanic personality trait
SNOMED CT,48079002,Disturbance in mood
SNOMED CT,49971008,Apprehension
SNOMED CT,54746005,Erotophobia
SNOMED CT,55929007,Feeling irritable
SNOMED CT,61387006,Moderate anxiety
SNOMED CT,70997004,Mild anxiety
SNOMED CT,75408008,Feeling angry
SNOMED CT,76094002,Pleasurable affect
SNOMED CT,79015004,Worried
SNOMED CT,80608005,Appropriate affect
SNOMED CT,81548002,Elevated mood
SNOMED CT,82248001,Euthymic mood
SNOMED CT,85949006,Euphoria
SNOMED CT,87521009,Dispiritment
SNOMED CT,87690005,Unpleasurable affect
SNOMED CT,88729006,Labile affect
SNOMED CT,89225005,Anxiety about blushing
SNOMED CT,102894008,Feeling calm
SNOMED CT,102897001,Feeling intoxicated
SNOMED CT,102912007,Fear of death
SNOMED CT,102915009,Nosophobia
SNOMED CT,102916005,Arachnophobia
SNOMED CT,102917001,Fear of blood
SNOMED CT,102918006,Microphobia
SNOMED CT,102919003,Fear of infection
SNOMED CT,102921008,Toxicophobia
SNOMED CT,102922001,Tocophobia
SNOMED CT,102923006,Teratophobia
SNOMED CT,102931001,Fear of heart attack
SNOMED CT,102932008,Fear of hypertension
SNOMED CT,112080002,Cheerful mood
SNOMED CT,134416003,Normal mood symptoms
SNOMED CT,134417007,Normal mood
SNOMED CT,162719003,O/E - apathetic
SNOMED CT,162720009,O/E - afraid
SNOMED CT,162726003,O/E - angry
SNOMED CT,162727007,O/E - elated
SNOMED CT,191664002,Rebound mood swings
SNOMED CT,191728008,Fear of crowds
SNOMED CT,191733007,Cyesiophobia
SNOMED CT,224971003,Feeling aggressive
SNOMED CT,225005002,Unable to control anger
SNOMED CT,225006001,Becomes angry very easily
SNOMED CT,225455004,Sociable mood
SNOMED CT,225625004,Fear of walking
SNOMED CT,225626003,Fear of mobilizing
SNOMED CT,225627007,Fear of disconnection from ventilator
SNOMED CT,225628002,Fear of being left alone during period of dependence
SNOMED CT,225629005,Fear of being left alone
SNOMED CT,225630000,Fear of dentist
SNOMED CT,225631001,Fear of not coping with treatment
SNOMED CT,225632008,Fear of lifts
SNOMED CT,225633003,Fear of thunderstorm
SNOMED CT,225634009,Terrified
SNOMED CT,225635005,Anxiety about treatment
SNOMED CT,225636006,Anxiety about forced dependence
SNOMED CT,225637002,Anxiety about loss of control
SNOMED CT,225638007,Anxiety about resuming sexual relations
SNOMED CT,225639004,Worried about not coping with baby
SNOMED CT,225640002,Worried about being a bad father
SNOMED CT,225641003,Worried about being a bad mother
SNOMED CT,225642005,Anxiety about not coping with parenthood
SNOMED CT,225643000,Anxiety about making mistakes
SNOMED CT,225644006,Anxiety about altered body image
SNOMED CT,225645007,Fear of wetting self in public
SNOMED CT,225646008,Fear of losing control of bowels in public
SNOMED CT,225648009,Optimistic
SNOMED CT,225649001,Hopeful for the future
SNOMED CT,225653004,Easily upset
SNOMED CT,225654005,Temperamental
SNOMED CT,225656007,Unpredictable in mood
SNOMED CT,225657003,Volatile Mood
SNOMED CT,225658008,Mood stable
SNOMED CT,231508009,Examination fear
SNOMED CT,247672006,Delusional mood
SNOMED CT,247673001,Delusional perplexity
SNOMED CT,247694003,Passivity of volitional acts
SNOMED CT,247784003,Overoptimism
SNOMED CT,247799003,Pessimistic
SNOMED CT,247800004,Diurnal variation of mood
SNOMED CT,247801000,Depression worse in morning
SNOMED CT,247802007,Depression worse later in day
SNOMED CT,247805009,Anxiety and fear
SNOMED CT,247808006,Anxiety about body function or health
SNOMED CT,247809003,Fear of losing control of bowels
SNOMED CT,247810008,Fear of wetting self
SNOMED CT,247811007,Fear of vomiting in public
SNOMED CT,247812000,Fear of having a fit
SNOMED CT,247813005,Fear of choking
SNOMED CT,247815003,Fear of swallowing
SNOMED CT,247816002,Fear of collapsing
SNOMED CT,247817006,Fear of fainting
SNOMED CT,247818001,Fear of having a heart attack
SNOMED CT,247819009,Fear of shaking
SNOMED CT,247820003,Fear of sweating
SNOMED CT,247822006,Fear of going crazy
SNOMED CT,247823001,Fear of losing emotional control
SNOMED CT,247824007,Fear of becoming fat
SNOMED CT,247825008,Anxiety about behavior or performance
SNOMED CT,247826009,Fear of appearing ridiculous
SNOMED CT,247827000,Fear of saying the wrong thing
SNOMED CT,247828005,Fear of going out
SNOMED CT,247829002,Fear of empty streets
SNOMED CT,247830007,Fear of open spaces
SNOMED CT,247831006,Fear of crossing streets
SNOMED CT,247832004,Social fear
SNOMED CT,247833009,Fear of activities in public
