CodeSystem,ConceptCode,ConceptName
ICD10CM,E08.5,Diabetes mellitus due to underlying condition with circulatory complications
ICD10CM,E09.5,Drug or chemical induced diabetes mellitus with circulatory complications
ICD10CM,E10.5,Type 1 diabetes mellitus with circulatory complications
ICD10CM,E11.5,Type 2 diabetes mellitus with circulatory complications
ICD10CM,E13.5,Other specified diabetes mellitus with circulatory complications
ICD10CM,I70.20,Unspecified atherosclerosis of native arteries of extremities
ICD10CM,I70.21,Atherosclerosis of native arteries of extremities with intermittent claudication
ICD10CM,I70.22,Atherosclerosis of native arteries of extremities with rest pain
ICD10CM,I70.23,Atherosclerosis of native arteries of right leg with ulceration
ICD10CM,I70.24,Atherosclerosis of native arteries of left leg with ulceration
ICD10CM,I70.25,Atherosclerosis of native arteries of other extremities with ulceration
ICD10CM,I70.26,Atherosclerosis of native arteries of extremities with gangrene
ICD10CM,I70.29,Other atherosclerosis of native arteries of extremities
ICD10CM,I70.30,Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities
ICD10CM,I70.31,Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication
ICD10CM,I70.32,Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain
ICD10CM,I70.33,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration
ICD10CM,I70.34,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration
ICD10CM,I70.35,Atherosclerosis of unspecified type of bypass graft(s) of other extremity with ulceration
ICD10CM,I70.4,Atherosclerosis of autologous vein bypass graft(s) of the extremities
ICD10CM,I70.5,Atherosclerosis of nonautologous biological bypass graft(s) of the extremities
ICD10CM,I70.6,Atherosclerosis of nonbiological bypass graft(s) of the extremities
ICD10CM,I70.7,Atherosclerosis of other type of bypass graft(s) of the extremities
ICD10CM,I70.90,Unspecified atherosclerosis
ICD10CM,I70.91,Generalized atherosclerosis
ICD10CM,I70.92,Chronic total occlusion of artery of the extremities
ICD10CM,I73.89,Other specified peripheral vascular diseases
ICD10CM,I73.9,"Peripheral vascular disease, unspecified"
ICD10CM,E08.51,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene
ICD10CM,E08.52,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene
ICD10CM,E08.59,Diabetes mellitus due to underlying condition with other circulatory complications
ICD10CM,E09.51,Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy without gangrene
ICD10CM,E09.52,Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy with gangrene
ICD10CM,E09.59,Drug or chemical induced diabetes mellitus with other circulatory complications
ICD10CM,E10.51,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene
ICD10CM,E10.52,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene
ICD10CM,E10.59,Type 1 diabetes mellitus with other circulatory complications
ICD10CM,E11.51,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene
