CodeSystem,ConceptCode,ConceptName
ICD10CM,G89.29,Other chronic pain
ICD10CM,G89.4,Chronic pain syndrome
ICD10CM,R52,"Pain, unspecified"
SNOMED CT,22253000,Pain observations
SNOMED CT,2134003,Diffuse pain
SNOMED CT,2177002,Postherpetic neuralgia
SNOMED CT,2237002,Pleuritic pain
SNOMED CT,2733002,Heel pain
SNOMED CT,3200003,Sacrocoxalgia
SNOMED CT,3368006,Dull chest pain
SNOMED CT,175004,Supraorbital neuralgia
SNOMED CT,330007,Occipital headache
SNOMED CT,4063001,Achillodynia
SNOMED CT,4448006,Allergic headache
SNOMED CT,4473006,Migraine with aura
SNOMED CT,4557003,Preinfarction syndrome
SNOMED CT,4568003,Retrosternal pain
SNOMED CT,4969004,Sinus headache
SNOMED CT,5268006,Mechanical dysmenorrhea
SNOMED CT,6548007,Rectal tenesmus
SNOMED CT,6561007,Pain in urethra
SNOMED CT,6617009,Referred pain
SNOMED CT,6744007,Painful bladder spasm
SNOMED CT,7093002,Renal colic
SNOMED CT,7674000,Greater trochanteric pain syndrome
SNOMED CT,8034008,Painful penile erection
SNOMED CT,8708008,Sharp pain
SNOMED CT,8799007,Posterior heel pain
SNOMED CT,9267009,Chest pain at rest
SNOMED CT,9626006,Mechanical pain
SNOMED CT,9972008,Radiating pain
SNOMED CT,9991008,Abdominal colic
SNOMED CT,10000006,Radiating chest pain
SNOMED CT,10085004,Metatarsalgia
SNOMED CT,10601006,Pain in lower limb
SNOMED CT,11114002,Sore gums
SNOMED CT,11679003,Radicular pain
SNOMED CT,12336008,Referred ear pain
SNOMED CT,12584003,Bone pain
SNOMED CT,13057000,Pleuropericardial chest pain
SNOMED CT,13322008,Postseizure headache
SNOMED CT,14150005,Alteration in comfort: chronic pain
SNOMED CT,1197719006,Functional abdominal pain of childhood
SNOMED CT,15803009,Bladder pain
SNOMED CT,16001004,Otalgia
SNOMED CT,16269008,Neuralgia
SNOMED CT,16331000,Heartburn
SNOMED CT,16513000,Postcordotomy pain
SNOMED CT,16844001,Painful urging to urinate
SNOMED CT,17111003,Postinfectious neuralgia
SNOMED CT,17329003,Ureteric colic
SNOMED CT,17974002,Post-herpetic trigeminal neuralgia
SNOMED CT,18876004,Pain in finger
SNOMED CT,19057007,Status anginosus
SNOMED CT,20361002,Alteration in comfort: pain
SNOMED CT,20502007,Pain in scrotum
SNOMED CT,20793008,Scapulalgia
SNOMED CT,21005005,Burning epigastric pain
SNOMED CT,21470009,Syncope anginosa
SNOMED CT,21522001,Abdominal pain
SNOMED CT,21545007,Tenalgia
SNOMED CT,21615003,Autonomic facial cephalgia
SNOMED CT,23056005,Sciatica
SNOMED CT,23096007,Cranial neuralgia
SNOMED CT,23186000,Menstrual migraine
SNOMED CT,23189007,Idiopathic vulvodynia
SNOMED CT,23285006,Painful sexual act of male
SNOMED CT,25064002,Headache
SNOMED CT,25416002,Peripheral neuralgia
SNOMED CT,26150009,Lower half migraine
SNOMED CT,27355003,Toothache
SNOMED CT,27635008,Aching pain
SNOMED CT,29330004,Salivary colic
SNOMED CT,29695002,Throbbing pain
SNOMED CT,29857009,Chest pain
SNOMED CT,30077003,Somatoform pain disorder
SNOMED CT,30173002,Primary fibrositis
SNOMED CT,30233002,Swallowing painful
SNOMED CT,30473006,Pain in pelvis
SNOMED CT,30623001,Catch
SNOMED CT,30731004,Glossodynia
SNOMED CT,30989003,Knee pain
SNOMED CT,31490007,Nasociliary neuralgia
SNOMED CT,31681005,Trigeminal neuralgia
SNOMED CT,32096006,Secondary dysmenorrhea
SNOMED CT,33563008,Essential vulvodynia
SNOMED CT,34789001,Pain in coccyx
SNOMED CT,35074008,Chronic idiopathic anal pain
SNOMED CT,35363006,Infantile colic
SNOMED CT,35496009,Femoral neuralgia
SNOMED CT,35635000,Cervicobrachial neuralgia
SNOMED CT,35678005,Multiple joint pain
SNOMED CT,35928006,Nocturnal angina
SNOMED CT,36031001,Burning feet
SNOMED CT,36163009,Night pain
SNOMED CT,36269003,Cheilodynia
SNOMED CT,36349006,Burning pain
SNOMED CT,36630001,Deep pain
SNOMED CT,36729000,Pain of prostate
SNOMED CT,36859004,Esophageal chest pain
SNOMED CT,37151006,Erythromelalgia
SNOMED CT,37226004,Pain and tenderness
SNOMED CT,37259001,Ocular crisis
SNOMED CT,37389005,Biliary colic
SNOMED CT,37488003,Vulvovaginal pain
SNOMED CT,37796009,Migraine
SNOMED CT,38343000,Vaginal pain
SNOMED CT,38433004,No sensitivity to pain
SNOMED CT,38654001,Recurrent biliary colic
SNOMED CT,38823002,Aural headache
SNOMED CT,39402007,Pelvic congestion syndrome
SNOMED CT,39565009,Pain crisis
SNOMED CT,40196000,Mild pain
SNOMED CT,41021005,Psychologic dyspareunia
SNOMED CT,41226008,Exquisite pain
SNOMED CT,41334000,"Angina, class II"
SNOMED CT,41413006,Temporal headache
SNOMED CT,41624003,Segmental dysfunction
SNOMED CT,41652007,Pain in eye
SNOMED CT,42561004,Reminiscent neuralgia
