CodeSystem,ConceptCode,ConceptName
ICD10CM,B08.8,Other specified viral infections characterized by skin and mucous membrane lesions
ICD10CM,B09,Unspecified viral infection characterized by skin and mucous membrane lesions
ICD10CM,R21,Rash and other nonspecific skin eruption
SNOMED CT,271807003,Eruption
SNOMED CT,266128007,Rash of secondary syphilis
SNOMED CT,271756005,Macular eruption
SNOMED CT,271757001,Papular eruption
SNOMED CT,271763005,Open comedone
SNOMED CT,274119009,Rubella in pregnancy
SNOMED CT,275955005,O/E - allergic rash
SNOMED CT,276719000,Phototherapy skin rash
SNOMED CT,277171005,Vesicular eruption in ear canal
SNOMED CT,277805004,Drug-induced persistent light reaction
SNOMED CT,284078000,Purpuric rash
SNOMED CT,297941009,Toxic erythema caused by drug
SNOMED CT,297958004,Rubelliform eruption
SNOMED CT,298138003,Micropapular wheal
SNOMED CT,298139006,Bullous wheal
SNOMED CT,301447009,Multimorphic rash
SNOMED CT,304386008,O/E - itchy rash
SNOMED CT,312106007,Toxocara larva migrans of skin
SNOMED CT,371062005,Demodex acne
SNOMED CT,391168003,O/E - dribble rash
SNOMED CT,395122007,O/E - scalp rash
SNOMED CT,397515005,Molluscum contagiosum blepharoconjunctivitis
SNOMED CT,397741002,Papular eruption of chin
SNOMED CT,397845003,Granulomatous rosacea
SNOMED CT,399992009,Erythroderma
SNOMED CT,400018004,Acrokeratosis verruciformis of Darier disease
SNOMED CT,400085009,Acrokeratosis verruciformis of Hopf
SNOMED CT,400108007,Flexural lichen planus
SNOMED CT,400126005,Ulerythema ophryogenes
SNOMED CT,400201008,Pityriasis capitis
SNOMED CT,402177006,Solar pruritus
SNOMED CT,402205005,Erythrodermic seborrheic dermatitis
SNOMED CT,402238001,Pebbly lichenification
SNOMED CT,402239009,Secondary lichenification
SNOMED CT,402292002,Frictional lichenoid eruption
SNOMED CT,402296004,Pityriasis alba
SNOMED CT,402297008,Localized pityriasis alba
SNOMED CT,402298003,Diffuse pityriasis alba
SNOMED CT,402300003,Erythroderma of unknown etiology
SNOMED CT,402307000,Chronic large plaque psoriasis
SNOMED CT,402308005,Chronic small plaque psoriasis
SNOMED CT,402309002,Chronic guttate pattern psoriasis
SNOMED CT,402310007,Chronic stable plaque psoriasis
SNOMED CT,402311006,Actively extending plaque psoriasis
SNOMED CT,402312004,Acute guttate psoriasis
SNOMED CT,402313009,Guttate flare of psoriasis with preexisting plaques
SNOMED CT,402326008,Acute generalized pustular psoriasis de novo
SNOMED CT,402327004,Acute generalized pustular flare of preexisting plaque psoriasis
SNOMED CT,402340009,Nail dystrophy due to pityriasis rubra pilaris
SNOMED CT,402348002,Köbner reaction from lichen planus
SNOMED CT,402349005,Chronic lichen planus
SNOMED CT,402359006,Toxic epidermal necrolysis due to graft-versus-host disease
SNOMED CT,402641003,Acne of external origin
SNOMED CT,402642005,Acne with gram negative folliculitis
SNOMED CT,402643000,Acneiform eruption due to chemical
SNOMED CT,402644006,Acneiform eruption
SNOMED CT,402663007,Pustular vasculitis
SNOMED CT,402744003,Toxic epidermal necrolysis due to drug
SNOMED CT,402745002,Annular erythema due to drug
SNOMED CT,402747005,Sweet's disease due to drug
SNOMED CT,402836009,Spider telangiectasis in association with pregnancy
SNOMED CT,402858006,Bowel-bypass syndrome
SNOMED CT,402860008,Febrile ulceronecrotic pityriasis lichenoides acuta
