term,estimate_base,std_error_base,statistic_base,p_value_base,conf_low_base,conf_high_base,estimate_exp,std_error_exp,statistic_exp,p_value_exp,conf_low_exp,conf_high_exp
vaccinated,-0.088936445594356775,0.013546100136480591,-6.5654649455044805,5.1870755347954423e-11,-0.11548631399283184,-0.06238657719588171,0.91490371788878,0.013546100136480591,-6.5654649455044805,5.1870755347954423e-11,0.8909327654658542,0.9395196197201627
boosted,-0.04002887571618265,0.017960727997465946,-2.2286889329781214,0.025834609122585624,-0.0752312557273361,-0.004826495705029202,0.9607616960697196,0.017960727997465946,-2.2286889329781214,0.025834609122585624,0.9275289651394235,0.9951851331090367
sexMale,0.01838638596061161,0.008806460501040085,2.0878292656215387,0.0368132386326514,0.0011260405472984895,0.035646731373924725,1.018556456282143,0.008806460501040085,2.0878292656215387,0.0368132386326514,1.0011266747689864,1.036289693183367
sexUnknown,0.5086091529759863,0.09447008421070316,5.38381178788409,7.292475706253216e-8,0.3234511903065421,0.6937671156454305,1.6629766396125951,0.09447008421070316,5.38381178788409,7.292475706253216e-8,1.381888705057822,2.0012402545699106
raceAsian,-0.06437396322232178,0.054743959761153656,-1.175909881257833,0.23963088984331166,-0.17167015272529285,0.0429222262806493,0.937654285739668,0.054743959761153656,-1.175909881257833,0.23963088984331166,0.8422569435125068,1.0438567070749374
raceBlack,-0.060717220251573015,0.049789085868043856,-1.2194885524207457,0.22265881816667138,-0.15830203537611112,0.03686759487296509,0.9410893231547902,0.049789085868043856,-1.2194885524207457,0.22265881816667138,0.8535919280709022,1.0375556340574676
raceNative Hawaiian or Other Pacific Islander,0.09765845924966611,0.08486692921115269,1.1507245538092645,0.24984557177880184,-0.06867766548270339,0.2639945839820356,1.102586142694319,0.08486692921115269,1.1507245538092645,0.24984557177880184,0.9336275719744218,1.3021211439702889
raceOther,0.04021470631878727,0.04989760198307548,0.8059446690930657,0.4202747535212516,-0.057582796482955036,0.13801220912052958,1.0410342668340518,0.04989760198307548,0.8059446690930657,0.4202747535212516,0.9440437236504274,1.1479895661315975
raceWhite,-0.02789277287607729,0.04875163264097219,-0.5721402825930275,0.5672269405855238,-0.12344421703991007,0.06765867128775549,0.9724926387994483,0.04875163264097219,-0.5721402825930275,0.5672269405855238,0.8838709448065551,1.070000024410917
ethnicityHispanic or Latino,0.21607984980154696,0.014416606295346525,14.988260439025407,8.761811820527092e-51,0.18782382068337436,0.24433587891971956,1.2412014847360684,0.014416606295346525,14.988260439025407,8.761811820527092e-51,1.2066209149740346,1.2767730996475994
