term,estimate_base,std_error_base,statistic_base,p_value_base,conf_low_base,conf_high_base,estimate_exp,std_error_exp,statistic_exp,p_value_exp,conf_low_exp,conf_high_exp
vaccinated,0.431656268267116,0.2534318982769013,1.703243637450427,0.08852248343874893,-0.06506112488922905,0.928373661423461,1.5398057440888009,0.2534318982769013,1.703243637450427,0.08852248343874893,0.9370101869830288,2.5303905576128054
boosted,-11.594676835330345,330.13362633099973,-0.03512116279759169,0.9719831263486834,-658.6446945296938,635.4553408590331,9.215010426890292e-6,330.13362633099973,-0.03512116279759169,0.9719831263486834,9.000023240380143e-287,9435133099068506e260
sexMale,-0.047749815195257214,0.046715778924855574,-1.02213462547772,0.3067171870328983,-0.1393110593977094,0.04381142900719498,0.9533722764998893,0.046715778924855574,-1.02213462547772,0.3067171870328983,0.8699573779482241,1.0447853201064248
sexUnknown,0.08811391154916384,0.5079209915290246,0.17347956280347723,0.8622744908392614,-0.907392938839598,1.0836207619379257,1.0921125191718473,0.5079209915290246,0.17347956280347723,0.8622744908392614,0.4035749984256321,2.955360860273069
raceAsian,-0.09282826733003986,0.2943849952633841,-0.3153294795034886,0.7525115044539815,-0.6698122556352669,0.48415572097518716,0.9113499954260754,0.2943849952633841,-0.3153294795034886,0.7525115044539815,0.5118046572073102,1.6228043306504805
raceBlack,-0.23230096185366356,0.24468199093151866,-0.9493995081913474,0.34241746041051474,-0.7118688517449961,0.24726692803766903,0.7927075126797074,0.24468199093151866,-0.9493995081913474,0.34241746041051474,0.49072624536997694,1.2805208740875174
raceNative Hawaiian or Other Pacific Islander,0.6045466383009318,0.3834904061111207,1.5764322357669558,0.11492622421920912,-0.14708074609350363,1.3561740226953671,1.8304221774393807,0.3834904061111207,1.5764322357669558,0.11492622421920912,0.863224272614331,3.8813150347532295
raceOther,-0.05510057168676582,0.24754639009647597,-0.2225868519645612,0.8238570703626509,-0.5402825807787613,0.4300814374052297,0.9463899631321846,0.24754639009647597,-0.2225868519645612,0.8238570703626509,0.5825836021835972,1.5373827189098925
raceWhite,-0.04662000795313259,0.23814183123929492,-0.19576572377276652,0.8447935393900796,-0.513369420394566,0.4201294044883009,0.9544500121044244,0.23814183123929492,-0.19576572377276652,0.8447935393900796,0.5984756616482216,1.522158517018522
ethnicityHispanic or Latino,0.17130801560918985,0.0849282709925438,2.017090582524984,0.0436860612405785,0.004851663194546246,0.33776436802383347,1.1868562629816826,0.0849282709925438,2.017090582524984,0.0436860612405785,1.0048634515691202,1.4018101531897056
ethnicityUnknown,-0.024123408851783833,0.09877457279421746,-0.2442269115356385,0.8070550856197665,-0.21771801411677985,0.1694711964132122,0.9761652348934404,0.09877457279421746,-0.2442269115356385,0.8070550856197665,0.8043522256628878,1.1846782235596562
year_month2021_11,-0.015415544067759386,0.09229129302553668,-0.1670314020142069,0.8673453407645391,-0.1963031544844439,0.16547206634892514,0.9847026672217261,0.09229129302553668,-0.1670314020142069,0.8673453407645391,0.8217630757517073,1.1799500019474645
year_month2021_12,-0.46622642190069447,0.08233713696267893,-5.6624075004213665,1.492638411104898e-8,-0.6276042449376869,-0.30484859886370214,0.6273652187393426,0.08233713696267893,-5.6624075004213665,1.492638411104898e-8,0.533869290174849,0.7372349841568118
year_month2022_01,-0.6133961324348423,0.07084136899533475,-8.658727818702056,4.7705840721164814e-18,-0.7522426642812108,-0.47454960058847373,0.5415087074475422,0.07084136899533475,-8.658727818702056,4.7705840721164814e-18,0.4713083801519885,0.6221652162156462
year_month2022_02,-0.7181779280118524,0.10590824183618693,-6.781133512939349,1.192366191349402e-11,-0.925754267676737,-0.5106015883469679,0.4876399620973726,0.10590824183618693,-6.781133512939349,1.192366191349402e-11,0.3962324410116931,0.6001344363100989
year_month2022_03,-1.0565035162890541,0.22176010992256934,-4.764172946423716,1.8962981217669759e-6,-1.4911453449449334,-0.6218616876331748,0.34766930767800375,0.22176010992256934,-4.764172946423716,1.8962981217669759e-6,0.22511467387489012,0.5369438847352946
year_month2022_04,-1.2355708467722333,0.22176039692920738,-5.57164788610414,2.523410326467609e-8,-1.6702132379507864,-0.8009284555936802,0.2906687876600709,0.22176039692920738,-5.57164788610414,2.523410326467609e-8,0.18820692849976114,0.44891197573463726
year_month2022_05,-0.8970534730866927,0.13494587982406228,-6.647505461124412,2.981019290941883e-11,-1.161542537403925,-0.6325644087694604,0.40776939484303276,0.13494587982406228,-6.647505461124412,2.981019290941883e-11,0.31300298948918875,0.5312277676389298
year_month2022_06,-0.9986644162967003,0.13196073939453618,-7.56789042618876,3.793337320094373e-14,-1.257302712883267,-0.7400261197101337,0.3683711032126699,0.13196073939453618,-7.56789042618876,3.793337320094373e-14,0.2844201556216742,0.47710145360661177
year_month2022_07,-1.0437394778845643,0.12469775921363625,-8.370154239070134,5.754286501127464e-17,-1.2881425948961391,-0.7993363608729896,0.3521354142160263,0.12469775921363625,-8.370154239070134,5.754286501127464e-17,0.27578254757706205,0.4496272553666333
year_month2022_08,-0.8029037383132255,0.1254793622592294,-6.398691576504003,1.5671403018730841e-10,-1.0488387691443695,-0.5569687074820814,0.4480261228593408,0.1254793622592294,-6.398691576504003,1.5671403018730841e-10,0.350344343652347,0.5729431926081232
year_month2022_09,-0.9594298699153347,0.16653318363255015,-5.761193348902069,8.352129556285054e-9,-1.285828912065928,-0.6330308277647413,0.3831112469697821,0.16653318363255015,-5.761193348902069,8.352129556285054e-9,0.2764213596415454,0.5309800506917179
year_month2022_10,-0.7050949112296093,0.1762554917649496,-4.0004138547348544,6.323180276111105e-5,-1.0505493271663064,-0.35964049529291214,0.4940616800292281,0.1762554917649496,-4.0004138547348544,6.323180276111105e-5,0.3497455715880522,0.6979271890847927
year_month2022_11,-1.1933644797293241,0.23823073528086744,-5.0092800927738415,5.463401307807512e-7,-1.6602881408903198,-0.7264408185683284,0.30319943771145097,0.23823073528086744,-5.0092800927738415,5.463401307807512e-7,0.19008420117891234,0.483627247600726
anxiety,0.202026304609851,0.05593478366282002,3.6118188250746437,3.0405696856783534e-4,0.09239614314768436,0.31165646607201763,1.223880201379142,0.05593478366282002,3.6118188250746437,3.0405696856783534e-4,1.0967992255297403,1.365685453146077
cancer,-0.6359382455103687,0.0884614852240846,-7.188871449529174,6.532904527570714e-13,-0.8093195705684967,-0.4625569204522407,0.5294385119042713,0.0884614852240846,-7.188871449529174,6.532904527570714e-13,0.4451608637485324,0.6296715653012822
cardiovascular_disease,0.16416207143010364,0.04933668302498871,3.3273836294782244,8.766559557757348e-4,0.06746394958445714,0.26086019327575016,1.178405285446739,0.04933668302498871,3.3273836294782244,8.766559557757348e-4,1.069791692467668,1.298046177163391
cerebrovascular_disease_stroke_tia,-0.243794501883156,0.08450845161306803,-2.8848534937002284,0.003915958511021988,-0.4094280234340151,-0.07816098033229688,0.7836486560405435,0.08450845161306803,-2.8848534937002284,0.003915958511021988,0.6640299511070842,0.9248155374472211
ckd,-0.13011689760379694,0.07207775314715528,-1.8052296571751878,0.07103875189176197,-0.27138669785878977,0.011152902651195923,0.8779927896681567,0.07207775314715528,-1.8052296571751878,0.07103875189176197,0.7623216512504969,1.0112153281292098
copd,0.1972757384279151,0.07528624354653103,2.620342430898254,0.008784151331281777,0.04971741254540324,0.34483406431042696,1.2180798658311138,0.07528624354653103,2.620342430898254,0.008784151331281777,1.050974062323833,1.41175563958492
dementia,0.06246988972240221,0.11156868095804816,0.5599231718612145,0.5755318426516857,-0.15620070675801184,0.2811404862028163,1.064462407176746,0.11156868095804816,0.5599231718612145,0.5755318426516857,0.8553874910908112,1.3246396844634478
diabetes,-0.06942653215552577,0.05809356831192572,-1.195081214201703,0.2320553009046377,-0.1832878337803175,0.04443476946926596,0.9329286711253809,0.05809356831192572,-1.195081214201703,0.2320553009046377,0.8325284914240944,1.0454367800902147
immunocompromised,0.34496538864037996,0.05006734213590387,6.890027988783556,5.578141189187605e-12,0.2468352012523637,0.4430955760283962,1.4119410496225038,0.05006734213590387,6.890027988783556,5.578141189187605e-12,1.2799681582467326,1.557521188917581
pad,0.02879176125543789,0.08970016827860586,0.3209777841888947,0.7482272265087153,-0.14701733797781177,0.20460086048868756,1.029210250708069,0.08970016827860586,0.3209777841888947,0.7482272265087153,0.8632790097742487,1.2270352089755676
smoking,-0.0508950297379232,0.05621923696136929,-0.9052956334660931,0.3653087890749901,-0.16108270942053,0.0592926499446836,0.9503784267691463,0.05621923696136929,-0.9052956334660931,0.3653087890749901,0.8512216641449477,1.061085721984627
depression,0.10623008418385395,0.05214082629503601,2.0373686366755455,0.04161311436933115,0.004035942521424363,0.20842422584628353,1.112077718567055,0.05214082629503601,2.0373686366755455,0.04161311436933115,1.004044097905305,1.2317355928025635
flu_vaccinated,-0.05596945222742564,0.06125569417853667,-0.9137020317539185,0.3608734361399528,-0.17602840666535735,0.06408950221050606,0.9455680204460568,0.06125569417853667,-0.9137020317539185,0.3608734361399528,0.8385941613350121,1.0661878206579698
inpatient_count_sqrt,-0.0616700531519658,0.028003710248592738,-2.202210085896203,0.027650471947298066,-0.11655631667270275,-0.0067837896312288384,0.940193049352873,0.028003710248592738,-2.202210085896203,0.027650471947298066,0.8899799748543793,0.9932391683263322
outpatient_count_sqrt,0.11584643929271923,0.005621907508709108,20.606251368108985,2.412042306810468e-94,0.10482770305123408,0.12686517553420437,1.1228234373328003,0.005621907508709108,20.606251368108985,2.412042306810468e-94,1.1105192547920422,1.135263946107744
blood_panel_count_sqrt,0.03360827440516335,0.004241191303665231,7.924253352146396,2.2952123892854814e-15,0.025295692198435017,0.04192085661189168,1.034179412825231,0.004241191303665231,7.924253352146396,2.2952123892854814e-15,1.0256183430345613,1.0428119438143657
"ns(age_covid, df = 5)1",1.1336589973263824,0.19360775586337642,5.855442062591614,4.7574285469828746e-9,0.7541947687065412,1.5131232259462237,3.1070042470092742,0.19360775586337642,5.855442062591614,4.7574285469828746e-9,2.125898993560193,4.540890898474541
"ns(age_covid, df = 5)2",1.4166266060700252,0.22200900868261325,6.380941991841654,1.760019718210088e-10,0.9814969448086632,1.8517562673313872,4.123187816597227,0.22200900868261325,6.380941991841654,1.760019718210088e-10,2.6684477726739306,6.370998879959415
"ns(age_covid, df = 5)3",1.2984188030412025,0.15753226438136186,8.242240458741367,1.6901545985090735e-16,0.9896612384506913,1.6071763676317137,3.66349937142889,0.15753226438136186,8.242240458741367,1.6901545985090735e-16,2.69032293999463,4.9887050528166945
"ns(age_covid, df = 5)4",1.518695517019735,0.4497084588366399,3.3770668244677444,7.326324881741561e-4,0.6372831341569075,2.4001078998825625,4.566264693724721,0.4497084588366399,3.3770668244677444,7.326324881741561e-4,1.8913353881515298,11.024365844248877
"ns(age_covid, df = 5)5",1.2554974903194989,0.2089697486135241,6.008034649270979,1.877857155080356e-9,0.8459243091786028,1.665070671460395,3.5095839241372455,0.2089697486135241,6.008034649270979,1.877857155080356e-9,2.3301305805892536,5.286046809208334
