term,estimate_base,std_error_base,statistic_base,p_value_base,conf_low_base,conf_high_base,estimate_exp,std_error_exp,statistic_exp,p_value_exp,conf_low_exp,conf_high_exp
vaccinated,-0.14761013599370632,0.052192278739077516,-2.828198721340506,0.004681073893216042,-0.2499051225933738,-0.04531514939403883,0.8627674113423405,0.052192278739077516,-2.828198721340506,0.004681073893216042,0.7788746771753662,0.9556962472754349
boosted,-0.1110954283917415,0.06413364664612008,-1.73224873684089,0.0832292849373645,-0.23679506601535485,0.014604209231871862,0.8948533504382987,0.06413364664612008,-1.73224873684089,0.0832292849373645,0.7891529957152489,1.0147113717345486
sexMale,-0.015239761495977378,0.03844972153239067,-0.39635557524491183,0.6918427339345206,-0.09059983091505729,0.06012030792310254,0.9848757760033185,0.03844972153239067,-0.39635557524491183,0.6918427339345206,0.9133831454741059,1.0619643015797662
sexUnknown,-0.1681115203496359,0.4531197521306313,-0.37100903140759683,0.7106308049427977,-1.0562099152093896,0.7199868745101177,0.8452595657859966,0.4531197521306313,-0.37100903140759683,0.7106308049427977,0.34777139874839513,2.054406245378534
raceAsian,-0.19974065919669734,0.2054513938683845,-0.972203962386619,0.3309490897276707,-0.6024179917522842,0.2029366733588895,0.8189431109045081,0.2054513938683845,-0.972203962386619,0.3309490897276707,0.5474862171561989,1.224994890979348
raceBlack,-0.30194774262793517,0.17494126479485636,-1.72599496740813,0.08434831812972084,-0.6448263210357384,0.04093083577986811,0.7393767017633924,0.17494126479485636,-1.72599496740813,0.08434831812972084,0.5247536728670117,1.0417800491489977
raceNative Hawaiian or Other Pacific Islander,0.00664067678469092,0.33268054526136065,0.0199611215001282,0.9840743869295504,-0.6454012102847231,0.658682563854105,1.0066627749673183,0.33268054526136065,0.0199611215001282,0.9840743869295504,0.524452084320428,1.932245047358333
raceOther,-0.17503447003283862,0.17593747106501484,-0.99486748884868,0.3198007168737945,-0.5198655768513255,0.16979663678564827,0.8394280851568434,0.17593747106501484,-0.99486748884868,0.3198007168737945,0.594600470665814,1.1850638284242403
raceWhite,-0.1353769694692848,0.16664133747916118,-0.8123852791700855,0.416570590451861,-0.4619879892640253,0.1912340503254557,0.873386609536828,0.16664133747916118,-0.8123852791700855,0.416570590451861,0.6300299070193385,1.2107427936668118
ethnicityHispanic or Latino,0.08588382865338084,0.06986698777450849,1.2292476230772356,0.2189789784464323,-0.05105295109295602,0.2228206083997177,1.0896797313900248,0.06986698777450849,1.2292476230772356,0.2189789784464323,0.9502283535703903,1.2495963865324475
ethnicityUnknown,-0.08191859047161937,0.08598929870930543,-0.952660292631907,0.3407622180133299,-0.25045451899771454,0.08661733805447577,0.9213469620649695,0.08598929870930543,-0.952660292631907,0.3407622180133299,0.7784468837531383,1.0904793149323542
year_month2021_11,0.002159434364106615,0.08097823166782399,0.02666685008589349,0.9787254535235165,-0.15655498323656925,0.1608738519647825,1.0021617676216963,0.08097823166782399,0.02666685008589349,0.9787254535235165,0.8550845010969486,1.1745367939592362
year_month2021_12,-0.41966416972249987,0.0724590055507271,-5.791746195422202,6.965835410454172e-9,-0.5616812109575128,-0.27764712848748696,0.657267513086553,0.0724590055507271,-5.791746195422202,6.965835410454172e-9,0.5702495477121667,0.7575640971433689
year_month2022_01,-0.5748468906526114,0.061621996620574736,-9.328598912367568,1.0727960744998609e-20,-0.6956237846843868,-0.454069996620836,0.5627910307781244,0.061621996620574736,-9.328598912367568,1.0727960744998609e-20,0.49876323006469164,0.6350382811564158
year_month2022_02,-0.6098797203156471,0.08771080837618973,-6.953301783514369,3.5683420573086255e-12,-0.7817897457878731,-0.43796969484342113,0.5434162270760661,0.08771080837618973,-6.953301783514369,3.5683420573086255e-12,0.4575863148203235,0.6453453398525258
year_month2022_03,-0.9091328157199108,0.16901132083220166,-5.379123784391454,7.484923328723772e-8,-1.24038891753057,-0.5778767139092514,0.4028734381076664,0.16901132083220166,-5.379123784391454,7.484923328723772e-8,0.28927169322645885,0.5610884539802804
year_month2022_04,-0.9846137117232051,0.16021199150924417,-6.145692981204801,7.961514961027469e-10,-1.2986234449727605,-0.6706039784736497,0.37358350999775525,0.16021199150924417,-6.145692981204801,7.961514961027469e-10,0.27290720637307475,0.5113996101350752
year_month2022_05,-0.7012440976141762,0.10130828047854051,-6.9218833278165866,4.456782510900235e-12,-0.8998046786877978,-0.5026835165405545,0.4959678873425285,0.10130828047854051,-6.9218833278165866,4.456782510900235e-12,0.40664907921594684,0.6049052065955465
year_month2022_06,-0.8231514055665291,0.09970856200864289,-8.255573934515043,1.511740080300091e-16,-1.0185765960537478,-0.6277262150793104,0.4390458604847109,0.09970856200864289,-8.255573934515043,1.511740080300091e-16,0.3611085779041834,0.5338041780328673
year_month2022_07,-0.8405623926432341,0.0956800670193312,-8.785135910005236,1.5617559516805448e-18,-1.0280918780395019,-0.6530329072469663,0.4314678008657859,0.0956800670193312,-8.785135910005236,1.5617559516805448e-18,0.3576888237228042,0.5204648589418275
year_month2022_08,-0.6882453590061914,0.10026569125168328,-6.864215968736335,6.685741967914117e-12,-0.8847625027445034,-0.49172821526787946,0.5024569275675741,0.10026569125168328,-6.864215968736335,6.685741967914117e-12,0.4128122034029899,0.6115685582438813
year_month2022_09,-0.7959108420809798,0.12972714769055316,-6.135268185958418,8.501565112431127e-10,-1.0501713793715723,-0.5416503047903873,0.4511701029973971,0.12972714769055316,-6.135268185958418,8.501565112431127e-10,0.3498777821383211,0.581787333264301
