term,estimate_base,std_error_base,statistic_base,p_value_base,conf_low_base,conf_high_base,estimate_exp,std_error_exp,statistic_exp,p_value_exp,conf_low_exp,conf_high_exp
vaccinated,-0.08891380226236836,0.013546096739886103,-6.563795015619825,5.245529984351769e-11,-0.11546366400364055,-0.062363940521096166,0.9149244345919483,0.013546096739886103,-6.563795015619825,5.245529984351769e-11,0.890952945311898,0.9395408875609648
boosted,-0.039969409694947056,0.017960685152226503,-2.225383350144203,0.026055514300032556,-0.07517170573097429,-0.004767113658919818,0.9608188304439005,0.017960685152226503,-2.225383350144203,0.026055514300032556,0.9275842011305583,0.9952442309931576
sexMale,0.01843660934165241,0.008806389912870829,2.0935490619949384,0.03630016922303585,0.0011764022786087645,0.03569681640469606,1.0186076129157773,0.008806389912870829,2.0935490619949384,0.03630016922303585,1.0011770945111906,1.0363415970843313
sexUnknown,0.5081634516719393,0.09446997339864113,5.379100188031267,7.48590431550297e-8,0.3230057061901458,0.6933211971537329,1.6622356139060492,0.09446997339864113,5.379100188031267,7.48590431550297e-8,1.3812732326908514,2.0003480634711064
raceAsian,-0.06431976804209318,0.05474390484410375,-1.1749210843701956,0.2400262894133649,-0.1716158499096243,0.04297631382543794,0.937705103459701,0.05474390484410375,-1.1749210843701956,0.2400262894133649,0.8423026816779002,1.0439131682482437
raceBlack,-0.060821988239385456,0.049789081490633415,-1.2215928958405793,0.22186161649044722,-0.15840679478435676,0.036762818305585844,0.9409907322847252,0.049789081490633415,-1.2215928958405793,0.22186161649044722,0.8535025109693574,1.037446928234677
raceNative Hawaiian or Other Pacific Islander,0.09756113591352714,0.08486686203591869,1.1495786879952716,0.2503174401580386,-0.06877485715780307,0.26389712898485734,1.1024788405541173,0.08486686203591869,1.1495786879952716,0.2503174401580386,0.9335368355562661,1.301994251941109
raceOther,0.04020689440088878,0.04989761512435234,0.8057878978922574,0.4203651572791579,-0.057590634157282876,0.13800442295906043,1.0410261343915947,0.04989761512435234,0.8057878978922574,0.4203651572791579,0.944036324572166,1.1479806277342686
raceWhite,-0.027969193785295342,0.048751632560039684,-0.5737078394420967,0.5661655224805012,-0.12352063779050335,0.06758225021991265,0.972418322867465,0.048751632560039684,-0.5737078394420967,0.5661655224805012,0.8838034013064208,1.069918256990876
ethnicityHispanic or Latino,0.2161028121445113,0.01441662942721847,14.989829157744119,8.557305573280804e-51,0.1878467376887028,0.2443588866003198,1.241229985957475,0.01441662942721847,14.989829157744119,8.557305573280804e-51,1.2066485674288268,1.27680247557321
