term,estimate_base,std_error_base,statistic_base,p_value_base,conf_low_base,conf_high_base,estimate_exp,std_error_exp,statistic_exp,p_value_exp,conf_low_exp,conf_high_exp
vaccinated,-0.14762473324995296,0.05219232109621093,-2.8284761081581835,0.004677019198537298,-0.2499198028680764,-0.045329663631829484,0.8627548173972746,0.05219232109621093,-2.8284761081581835,0.004677019198537298,0.7788632431650737,0.9556823761735108
boosted,-0.11106575456050916,0.06413368299138734,-1.7317850680027906,0.08331183772811225,-0.23676546341953736,0.014633954298519047,0.8948799045595766,0.06413368299138734,-1.7317850680027906,0.08331183772811225,0.7891763570381954,1.0147415548408256
sexMale,-0.015230316106532076,0.03844969476028056,-0.3961101954511574,0.6920237372926642,-0.09059033305324038,0.060129700840176235,0.9848850785825113,0.03844969476028056,-0.3961101954511574,0.6920237372926642,0.9133918207022056,1.0619742765692333
sexUnknown,-0.16789865978608184,0.4531210358516429,-0.3705382149617389,0.71098150818641,-1.0559995706927843,0.7202022511206205,0.8454395073640727,0.4531210358516429,-0.3705382149617389,0.71098150818641,0.3478445582492342,2.0548487640846385
raceAsian,-0.19975563054658357,0.20545134031377374,-0.9722770863480791,0.3309127199214158,-0.6024328581370622,0.20292159704389495,0.8189308503124368,0.20545134031377374,-0.9722770863480791,0.3309127199214158,0.5474780780759335,1.224976422709722
raceBlack,-0.3019697461575932,0.17494100701629328,-1.7261232875461212,0.08432523512056704,-0.6448478193286968,0.04090832701351044,0.739360433045192,0.17494100701629328,-1.7261232875461212,0.08432523512056704,0.5247423916800851,1.0417566002291794
raceNative Hawaiian or Other Pacific Islander,0.006576122333776467,0.33268021372364803,0.019767097839005068,0.9842291648735745,-0.6454651149336613,0.6586173596012143,1.0065977925021006,0.33268021372364803,0.019767097839005068,0.9842291648735745,0.52441857046495155,1.9321190608710903
raceOther,-0.17501157210234833,0.17593786627259475,-0.9947351062629619,0.3198651153482071,-0.5198434535134583,0.1698203093087616,0.8394473065428532,0.17593786627259475,-0.9947351062629619,0.3198651153482071,0.5946136253584349,1.18509188220716
raceWhite,-0.1354100947935687,0.1666411685362138,-0.8125848851338432,0.41645610040589653,-0.4620207834662169,0.1912005938790795,0.8733576788013345,0.1666411685362138,-0.8125848851338432,0.41645610040589653,0.6300092460299631,1.2107022871930653
ethnicityHispanic or Latino,0.08581072724569298,0.06986775515326953,1.228187839403874,0.219376462622323,-0.051127556535378024,0.22274901102676398,1.0896000771791843,0.06986775515326953,1.228187839403874,0.219376462622323,0.9501574640080767,1.2495069219166732
ethnicityUnknown,-0.08186744729539441,0.08598961289511128,-0.9520620519045129,0.34106551302626054,-0.2504039916143535,0.08666909702356468,0.921394083879984,0.08598961289511128,-0.9520620519045129,0.34106551302626054,0.7784862176309705,1.0905357584782251
year_month2021_11,0.0021055917856471974,0.08097790632497598,0.026002052673443483,0.9792557012090619,-0.15660818815476393,0.16081937172605834,1.0021078101007133,0.08097790632497598,0.026002052673443483,0.9792557012090619,0.8550390076062676,1.1744728066573484
year_month2021_12,-0.4197606889058503,0.07245844735511965,-5.793122875633789,6.908952037233066e-9,-0.5617766360975763,-0.2777447417141242,0.6572040772243851,0.07245844735511965,-5.793122875633789,6.908952037233066e-9,0.5701951341654565,0.7574901524765097
