term,estimate_base,std_error_base,statistic_base,p_value_base,conf_low_base,conf_high_base,estimate_exp,std_error_exp,statistic_exp,p_value_exp,conf_low_exp,conf_high_exp
vaccinated_at_covid,-0.1018937963233316,0.014149116195783145,-7.2014248037413795,5.958658565648894e-13,-0.12962555448013893,-0.07416203816652427,0.9031254618203195,0.014149116195783145,-7.2014248037413795,5.958658565648894e-13,0.8784242913870017,0.9285212257738282
boosted_at_covid,-0.03987941183481434,0.019578477729664538,-2.0369005387170946,0.04166001014492969,-0.07825252305707635,-0.0015063006125523304,0.9609053059738637,0.019578477729664538,-2.0369005387170946,0.04166001014492969,0.9247308811878963,0.9984948332888118
sexMale,0.015911092116499957,0.00895924260092264,1.7759416532443715,0.07574253456753517,-0.001648700710065374,0.033470884943065285,1.016038347571244,0.00895924260092264,1.7759416532443715,0.07574253456753517,0.9983526576503379,1.0340373372320584
sexUnknown,0.5088973389533709,0.09532990121733434,5.338276159472568,9.383445994473153e-8,0.3220541659176345,0.6957405119891071,1.6634559552235513,0.09532990121733434,5.338276159472568,9.383445994473153e-8,1.3799595207066568,2.005193394043699
raceAsian,-0.10765860908569509,0.055747768531248534,-1.9311734249120438,0.05346160926290272,-0.21692222762541757,0.0016050094540274035,0.8979340906504798,0.055747768531248534,-1.9311734249120438,0.05346160926290272,0.8049925730544765,1.0016062981710767
raceBlack,-0.09421937372900259,0.05042310269166294,-1.8685754882073335,0.06168189864451595,-0.1930468389934266,0.00460809153542141,0.9100830920187688,0.05042310269166294,-1.8685754882073335,0.06168189864451595,0.824443357137739,1.0046187251164516
raceNative Hawaiian or Other Pacific Islander,0.019079508933650683,0.08907965126474077,0.21418481844913415,0.8304029345041286,-0.15551339930062905,0.1936724171679304,1.0192626858850367,0.08907965126474077,0.21418481844913415,0.8304029345041286,0.8559756073775929,1.2136986309929914
raceOther,0.00795317103743446,0.05056425398741784,0.15728840851510414,0.8750175552176381,-0.0911509456830403,0.10705728775790921,1.0079848815127421,0.05056425398741784,0.15728840851510414,0.8750175552176381,0.9128799052181142,1.1129980138137623
raceWhite,-0.06232393692214836,0.04939337654515647,-1.2617873342829782,0.2070253209342836,-0.15913317602548047,0.03448530218118374,0.9395784733296038,0.04939337654515647,-1.2617873342829782,0.2070253209342836,0.8528827678682682,1.0350868147458487
ethnicityHispanic or Latino,0.215155579577388,0.014723545754287375,14.613027538881827,2.3197592421178174e-48,0.18629796017425715,0.24401319898051888,1.2400548091622212,0.014723545754287375,14.613027538881827,2.3197592421178174e-48,1.2047811837139855,1.2763611770445866
ethnicityUnknown,0.025582454989704483,0.018018258273725867,1.419807319945496,0.1556637833363653,-0.009732682290939057,0.06089759227034802,1.0259124943872029,0.018018258273725867,1.419807319945496,0.1556637833363653,0.9903145269795998,1.0627900706958464
year_month2021_11,0.05230452752738013,0.02681950179378167,1.9502423247663525,0.05114724332001959,-2.607300717393096e-4,0.10486978512649957,1.053696573272054,0.02681950179378167,1.9502423247663525,0.05114724332001959,0.999739303915392,1.11056598873023
year_month2021_12,0.06059171424544809,0.021393245534121367,2.8322824673239384,0.004621700120799018,0.01866172348614787,0.1025217050047483,1.0624650362811152,0.021393245534121367,2.8322824673239384,0.004621700120799018,1.0188369417087444,1.107961349955184
year_month2022_01,0.09801648422957253,0.019568090948940874,5.008995741348887,5.471478373497812e-7,0.05966373072344421,0.13636923773570084,1.1029809667501222,0.019568090948940874,5.008995741348887,5.471478373497812e-7,1.0614795435659632,1.1461050006918323
year_month2022_02,0.17979505121500133,0.024976739987697897,7.1984995361107185,6.087875329353767e-13,0.13084154038789209,0.22874856204211058,1.196972020020103,0.024976739987697897,7.1984995361107185,6.087875329353767e-13,1.1397871567707734,1.257025935237091
year_month2022_03,0.33718944774431603,0.03718407223244907,9.068115122960204,1.2109357586526008e-19,0.26431000537018,0.41006889011845205,1.4010044557326995,0.03718407223244907,9.068115122960204,1.2109357586526008e-19,1.3025319256103038,1.5069215935442022
