term,estimate_base,std_error_base,statistic_base,p_value_base,conf_low_base,conf_high_base,estimate_exp,std_error_exp,statistic_exp,p_value_exp,conf_low_exp,conf_high_exp
vaccinated_at_covid,-0.15546624176524013,0.056533170476332446,-2.7500004060505665,0.005959519085220823,-0.2662692198307148,-0.04466326369976546,0.8560159740293783,0.056533170476332446,-2.7500004060505665,0.005959519085220823,0.7662328146618601,0.956319455095166
boosted_at_covid,-0.0592789119160687,0.07092611576758764,-0.8357839883734113,0.40327643573243077,-0.19829154438385888,0.0797337205517215,0.9424438736698695,0.07092611576758764,-0.8357839883734113,0.40327643573243077,0.8201307137760244,1.0829986489939387
sexMale,-0.046667879914317874,0.03995591000326972,-1.167984408576826,0.24281305404477135,-0.1249800244902502,0.03164426466161444,0.9544043218041425,0.03995591000326972,-1.167984408576826,0.24281305404477135,0.8825145310861457,1.0321502676645555
sexUnknown,-0.3955919787589938,0.5056793779848934,-0.7822980251546103,0.43403944719017734,-1.3867053473340014,0.5955213898160137,0.6732813529938143,0.5056793779848934,-0.7822980251546103,0.43403944719017734,0.24989727455728863,1.8139764873076314
raceAsian,-0.262139901267588,0.22434682415870005,-1.1684582665728025,0.24262196380151468,-0.7018515966645805,0.1775717941294045,0.76940337567016015,0.22434682415870005,-1.1684582665728025,0.24262196380151468,0.4956666788231452,1.1943137995440234
raceBlack,-0.22213380742999983,0.18702355000791607,-1.1877317451229947,0.23493911272539483,-0.588693229706341,0.1444256148463413,0.8008082030777562,0.18702355000791607,-1.1877317451229947,0.23493911272539483,0.5550521366675001,1.155375748964619
raceNative Hawaiian or Other Pacific Islander,0.1367850024402204,0.3499896252934924,0.3908258775542731,0.6959259457466832,-0.5491820580976934,0.8227520629781342,1.1465816097705441,0.3499896252934924,0.3908258775542731,0.6959259457466832,0.5774219148566204,2.276757002183495
raceOther,-0.09917430895955132,0.18837160341196454,-0.5264822678323722,0.5985531691598011,-0.4683758673570641,0.27002724943796147,0.9055848427135604,0.18837160341196454,-0.5264822678323722,0.5985531691598011,0.6260181796326058,1.310000147014629
raceWhite,-0.07708400215331714,0.17907705768584303,-0.4304515784961494,0.6668671826115784,-0.4280685856749711,0.27390058136833684,0.9258120801316734,0.17907705768584303,-0.4304515784961494,0.6668671826115784,0.6517667114059178,1.3150840518823612
ethnicityHispanic or Latino,0.08583683659949884,0.07245916352035885,1.1846236201081906,0.23616629378670156,-0.05618051425030299,0.22785418744930067,1.0896285263044987,0.07245916352035885,1.1846236201081906,0.23616629378670156,0.9453684680066049,1.2559021857795012
ethnicityUnknown,-0.0736916562476104,0.08829473933001003,-0.8346098171509493,0.40393743288488815,-0.24674616535878224,0.09936285286356145,0.9289580881077765,0.08829473933001003,-0.8346098171509493,0.40393743288488815,0.7813389992664274,1.1044669858679297
year_month2021_11,-0.03400675012848254,0.08862939727115134,-0.38369605543455115,0.7012037365663485,-0.20771717675143167,0.1397036764944666,0.9665649801776833,0.08862939727115134,-0.38369605543455115,0.7012037365663485,0.8124367802314448,1.149932996189241
year_month2021_12,-0.45509482765551007,0.0777514206000444,-5.853202734346569,4.821957370104657e-9,-0.6074848117784227,-0.3027048435325974,0.6343878075873626,0.0777514206000444,-5.853202734346569,4.821957370104657e-9,0.5447192188878787,0.738817130846154
year_month2022_01,-0.5942601831115942,0.06677481998308235,-8.899465146624914,5.61164464713983e-19,-0.7251364253525812,-0.46338394087060736,0.5519707721494032,0.06677481998308235,-8.899465146624914,5.61164464713983e-19,0.4842584993121687,0.6291510293365178
year_month2022_02,-0.6179092906802999,0.0921480575305236,-6.705613848405002,2.005614511097541e-11,-0.7985161646854511,-0.43730241667514874,0.5390702995587837,0.0921480575305236,-6.705613848405002,2.005614511097541e-11,0.4499961892056801,0.6457761084140504
year_month2022_03,-0.9181559754074494,0.1729221180221849,-5.3096502975383135,1.0983577597530372e-7,-1.2570770988613162,-0.5792348519535825,0.39925459798094287,0.1729221180221849,-5.3096502975383135,1.0983577597530372e-7,0.2844843320361852,0.5603269356452601
year_month2022_04,-1.0570582339253893,0.16733367401987959,-6.317068217840054,2.6657193185581543e-10,-1.385026208405119,-0.7290902594456596,0.3474765028624821,0.16733367401987959,-6.317068217840054,2.6657193185581543e-10,0.25031723929011074,0.4823476017231331
year_month2022_05,-0.707274553698657,0.10463545142189343,-6.759416087831492,1.3854897381458722e-11,-0.9123562699916584,-0.5021928374056556,0.4929859749612079,0.10463545142189343,-6.759416087831492,1.3854897381458722e-11,0.4015768848154187,0.6052020937912341
year_month2022_06,-0.8592442965745315,0.10386431875708023,-8.272757255397282,1.308960287586016e-16,-1.0628146206171967,-0.6556739725318663,0.4234819882146513,0.10386431875708023,-8.272757255397282,1.308960287586016e-16,0.3454820397036537,0.5190920908538836
year_month2022_07,-0.8557443166447666,0.09914212247175166,-8.63149078625578,6.055744189372622e-18,-1.050059306040259,-0.6614293272492742,0.42496676350017887,0.09914212247175166,-8.63149078625578,6.055744189372622e-18,0.3499169963043079,0.5161131125015707
year_month2022_08,-0.7072008365451548,0.10353276437871824,-6.830695971356909,8.450365365286097e-12,-0.9101213259473139,-0.5042803471429956,0.49302231782352823,0.10353276437871824,-6.830695971356909,8.450365365286097e-12,0.4024753903632939,0.6039400462539496
year_month2022_09,-0.8181837492446092,0.13224262926014513,-6.18698942861378,6.132407577080506e-10,-1.0773745398153762,-0.5589929586738421,0.44123231571185423,0.13224262926014513,-6.18698942861378,6.132407577080506e-10,0.3404882916243402,0.5717845847199994
year_month2022_10,-0.6755071657839772,0.14536542886575438,-4.646958847469924,3.3686433455599424e-6,-0.9604181709580748,-0.3905961606098795,0.5088982593631333,0.14536542886575438,-4.646958847469924,3.3686433455599424e-6,0.3827328047631334,0.6766533601505715
year_month2022_11,-0.9426537593510872,0.17031635385527738,-5.534722520845454,3.11721451135877e-8,-1.2764676788856104,-0.608839839816564,0.389592577358005,0.17031635385527738,-5.534722520845454,3.11721451135877e-8,0.2790211541006935,0.5439816089273206
anxiety,0.20417413074790444,0.04695853903018747,4.3479659922266825,1.3740590333729929e-5,0.11213708548211858,0.2962111760136903,1.2265117082635153,0.04695853903018747,4.3479659922266825,1.3740590333729929e-5,1.1186662030300698,1.3447541066609394
cancer,-0.5598399345087346,0.07028125210359386,-7.965708033822962,1.6428040550630738e-15,-0.6975886574201584,-0.4220912115973108,0.5713005020260883,0.07028125210359386,-7.965708033822962,1.6428040550630738e-15,0.4977841859558554,0.6556742315719225
cardiovascular_disease,0.17871028344382203,0.042548674253823575,4.20013752667658,2.66752902247946e-5,0.09531641431640119,0.26210415257124287,1.1956742873463277,0.042548674253823575,4.20013752667658,2.66752902247946e-5,1.100006857984662,1.2996618985088937
cerebrovascular_disease_stroke_tia,-0.1971437298273224,0.06835539665130493,-2.884098980991852,0.003925353527254016,-0.33111784541282985,-0.06316961424181494,0.821072612206513,0.06835539665130493,-2.884098980991852,0.003925353527254016,0.7181205368427842,0.938784229009201
